DATE,Value,Value1,AI_DI
1965-03-01,561,550,-11
1965-03-02,520,590,70
1965-03-03,528,574,46
1965-03-04,594,490,-104
1965-03-05,646,446,-200
1965-03-08,466,626,160
1965-03-09,609,501,-108
1965-03-10,554,532,-22
1965-03-11,452,614,162
1965-03-12,477,640,163
1965-03-15,535,578,43
1965-03-16,574,536,-38
1965-03-17,599,485,-114
1965-03-18,624,457,-167
1965-03-19,602,474,-128
1965-03-22,559,538,-21
1965-03-23,537,534,-3
1965-03-24,471,579,108
1965-03-25,597,482,-115
1965-03-26,828,278,-550
1965-03-29,737,360,-377
1965-03-30,482,574,92
1965-03-31,473,602,129
1965-04-01,507,551,44
1965-04-02,421,684,263
1965-04-05,530,575,45
1965-04-06,591,499,-92
1965-04-07,488,557,69
1965-04-08,353,751,398
1965-04-09,378,742,364
1965-04-12,413,741,328
1965-04-13,539,605,66
1965-04-14,497,605,108
1965-04-15,516,570,54
1965-04-19,482,621,139
1965-04-20,553,580,27
1965-04-21,670,447,-223
1965-04-22,464,667,203
1965-04-23,497,600,103
1965-04-26,550,546,-4
1965-04-27,514,620,106
1965-04-28,593,475,-118
1965-04-29,566,537,-29
1965-04-30,574,504,-70
1965-05-03,619,501,-118
1965-05-04,485,606,121
1965-05-05,488,641,153
1965-05-06,509,583,74
1965-05-07,585,524,-61
1965-05-10,595,553,-42
1965-05-11,664,457,-207
1965-05-12,486,649,163
1965-05-13,474,615,141
1965-05-14,572,543,-29
1965-05-17,698,432,-266
1965-05-18,566,523,-43
1965-05-19,486,613,127
1965-05-20,787,337,-450
1965-05-21,702,390,-312
1965-05-24,867,303,-564
1965-05-25,446,680,234
1965-05-26,702,379,-323
1965-05-27,891,277,-614
1965-05-28,382,692,310
1965-06-01,798,345,-453
1965-06-02,1000,196,-804
1965-06-03,665,428,-237
1965-06-04,528,588,60
1965-06-07,799,337,-462
1965-06-08,938,215,-723
1965-06-09,911,257,-654
1965-06-10,823,351,-472
1965-06-11,428,692,264
1965-06-14,1036,161,-875
1965-06-15,559,597,38
1965-06-16,272,908,636
1965-06-17,332,745,413
1965-06-18,726,355,-371
1965-06-21,744,318,-426
1965-06-22,480,569,89
